data_transacao,id_cliente,id_parceiro,qde_pontos,tipo_transacao
2026-02-26,759,5,372,pontuação
2026-01-14,335,10,719,pontuação
2026-03-04,625,24,392,pontuação
2026-04-13,816,2,577,pontuação
2026-04-19,393,4,264,pontuação
2026-04-23,376,3,615,pontuação
2026-03-26,612,22,470,pontuação
2026-01-05,366,10,455,pontuação
2026-04-03,228,38,728,pontuação
2026-01-25,886,31,802,pontuação
2026-01-09,355,5,91,pontuação
2026-02-13,464,22,82,pontuação
2026-03-21,130,30,742,pontuação
2026-01-27,505,16,872,pontuação
2026-02-06,557,14,91,pontuação
2026-02-15,322,15,466,pontuação
2026-01-21,507,37,910,pontuação
2026-01-17,468,26,58,pontuação
2026-04-19,402,6,368,pontuação
2026-04-13,63,10,744,pontuação
2026-03-23,743,1,897,pontuação
2026-03-13,343,12,737,pontuação
2026-02-24,176,34,283,pontuação
2026-04-19,286,40,541,pontuação
2026-05-01,530,9,928,pontuação
2026-04-08,770,37,220,pontuação
2026-04-05,507,13,910,pontuação
2026-01-03,881,30,744,pontuação
2026-03-27,909,27,758,pontuação
2026-02-02,817,37,743,pontuação
2026-03-16,429,2,228,pontuação
2026-04-29,930,17,925,pontuação
2026-05-03,721,13,246,pontuação
2026-01-21,299,33,51,pontuação
2026-01-02,249,35,404,pontuação
2026-03-07,379,22,527,pontuação
2026-01-26,216,11,287,pontuação
2026-03-29,486,2,628,pontuação
2026-01-21,767,27,770,pontuação
2026-02-09,796,15,553,pontuação
2026-01-17,761,18,413,pontuação
2026-01-21,182,17,392,pontuação
2026-02-28,487,37,964,pontuação
2026-04-11,168,23,728,pontuação
2026-02-03,953,38,791,pontuação
2026-04-19,54,40,640,pontuação
2026-03-21,320,27,970,pontuação
2026-02-07,179,35,12,pontuação
2026-03-14,957,27,723,pontuação
2026-03-08,456,13,137,pontuação
2026-03-11,699,39,484,pontuação
2026-02-22,829,24,907,pontuação
2026-04-11,540,1,967,pontuação
2026-01-01,682,15,493,pontuação
2026-03-09,193,13,85,pontuação
2026-02-21,568,40,201,pontuação
2026-04-18,122,22,418,pontuação
2026-03-07,793,37,402,pontuação
2026-03-17,439,29,221,pontuação
2026-02-01,333,37,685,pontuação
2026-01-05,133,17,689,pontuação
2026-03-07,652,20,885,pontuação
2026-01-07,692,38,883,pontuação
2026-01-03,36,32,896,pontuação
2026-01-15,94,28,160,pontuação
2026-03-07,809,36,416,pontuação
2026-01-17,349,9,146,pontuação
2026-01-03,44,16,110,pontuação
2026-01-16,166,28,912,pontuação
2026-05-02,194,12,697,pontuação
2026-03-26,560,24,489,pontuação
2026-04-23,176,30,689,pontuação
2026-02-20,307,10,758,pontuação
2026-02-05,407,24,888,pontuação
2026-01-09,458,33,877,pontuação
2026-03-19,557,16,332,pontuação
2026-01-29,854,2,286,pontuação
2026-03-15,504,11,294,pontuação
2026-03-20,568,6,164,pontuação
2026-04-02,450,4,983,pontuação
2026-03-29,40,33,395,pontuação
2026-04-13,816,14,893,pontuação
2026-01-24,706,27,237,pontuação
2026-04-26,835,7,920,pontuação
2026-03-05,923,32,365,pontuação
2026-04-13,287,35,555,pontuação
2026-03-18,25,7,718,pontuação
2026-01-02,64,19,30,pontuação
2026-04-16,259,40,843,pontuação
2026-01-08,252,17,526,pontuação
2026-01-12,904,37,739,pontuação
2026-01-21,415,4,413,pontuação
2026-04-29,86,7,514,pontuação
2026-03-23,335,7,528,pontuação
2026-01-31,58,28,459,pontuação
